#Bottom-up search
#2022-1-30 13:56:42 --  seed: 1646168895 	max_stride: auto (2%) 	arc_start: -2 	arc_end: -2 	closure: H
# index Adet_1 Adet_2	 start end length
538 	3 7	3_1	 222 416 194 	
539 	3 7	3_1	 232 426 194 	
540 	3 7	3_1	 233 427 194 	
541 	3 7	3_1	 225 414 189 	
542 	3 7	3_1	 228 415 187 	
543 	3 7	3_1	 231 415 184 	
544 	3 7	3_1	 227 419 192 	
545 	3 7	3_1	 228 418 190 	
546 	3 7	3_1	 229 431 202 	
547 	3 7	3_1	 227 426 199 	
548 	3 7	3_1	 228 427 199 	
549 	3 7	3_1	 230 428 198 	
550 	3 7	3_1	 238 428 190 	
551 	3 7	3_1	 228 432 204 	
552 	3 7	3_1	 231 432 201 	
553 	3 7	3_1	 237 423 186 	
554 	3 7	3_1	 237 423 186 	
555 	3 7	3_1	 228 425 197 	
556 	3 7	3_1	 227 425 198 	
557 	3 7	3_1	 224 428 204 	
558 	3 7	3_1	 217 421 204 	
559 	3 7	3_1	 214 411 197 	
560 	3 7	3_1	 218 411 193 	
561 	3 7	3_1	 221 422 201 	
562 	3 7	3_1	 217 423 206 	
563 	3 7	3_1	 221 423 202 	
564 	3 7	3_1	 220 431 211 	
565 	3 7	3_1	 219 428 209 	
566 	3 7	3_1	 220 435 215 	
567 	3 7	3_1	 215 436 221 	
568 	3 7	3_1	 206 429 223 	
569 	3 7	3_1	 219 430 211 	
570 	3 7	3_1	 213 428 215 	
571 	3 7	3_1	 218 435 217 	
572 	3 7	3_1	 216 437 221 	
573 	3 7	3_1	 212 437 225 	
574 	3 7	3_1	 207 439 232 	
575 	3 7	3_1	 206 438 232 	
576 	3 7	3_1	 212 433 221 	
577 	3 7	3_1	 205 437 232 	
578 	3 7	3_1	 210 445 235 	
579 	3 7	3_1	 206 443 237 	
580 	3 7	3_1	 206 445 239 	
581 	3 7	3_1	 207 442 235 	
582 	3 7	3_1	 203 441 238 	
583 	3 7	3_1	 206 442 236 	
584 	3 7	3_1	 205 448 243 	
585 	3 7	3_1	 199 440 241 	
586 	3 7	3_1	 217 437 220 	
587 	3 7	3_1	 205 431 226 	
588 	3 7	3_1	 221 440 219 	
589 	3 7	3_1	 218 448 230 	
590 	3 7	3_1	 216 442 226 	
591 	3 7	3_1	 216 436 220 	
592 	3 7	3_1	 214 431 217 	
593 	3 7	3_1	 211 434 223 	
594 	3 7	3_1	 210 424 214 	
595 	3 7	3_1	 208 419 211 	
596 	3 7	3_1	 215 437 222 	
597 	3 7	3_1	 207 434 227 	
598 	3 7	3_1	 208 442 234 	
599 	3 7	3_1	 215 433 218 	
600 	3 7	3_1	 220 430 210 	
601 	3 7	3_1	 224 432 208 	
602 	3 7	3_1	 216 428 212 	
603 	3 7	3_1	 207 421 214 	
604 	3 7	3_1	 198 426 228 	
605 	3 7	3_1	 205 426 221 	
606 	3 7	3_1	 208 426 218 	
607 	3 7	3_1	 209 418 209 	
608 	3 7	3_1	 207 415 208 	
609 	3 7	3_1	 202 416 214 	
610 	3 7	3_1	 192 421 229 	
611 	3 7	3_1	 199 422 223 	
612 	3 7	3_1	 198 427 229 	
613 	3 7	3_1	 194 431 237 	
614 	3 7	3_1	 209 430 221 	
615 	3 7	3_1	 207 436 229 	
616 	3 7	3_1	 212 441 229 	
617 	3 7	3_1	 217 432 215 	
618 	3 7	3_1	 208 426 218 	
619 	3 7	3_1	 195 433 238 	
620 	3 7	3_1	 192 417 225 	
621 	3 7	3_1	 193 421 228 	
622 	3 7	3_1	 185 421 236 		3 7	3_1	 195 431 236 	
623 	3 7	3_1	 193 431 238 	
624 	3 7	3_1	 196 425 229 	
625 	3 7	3_1	 189 419 230 	
626 	3 7	3_1	 196 424 228 	
627 	3 7	3_1	 195 422 227 	
628 	3 7	3_1	 202 424 222 	
629 	3 7	3_1	 197 426 229 	
630 	3 7	3_1	 186 411 225 	
631 	3 7	3_1	 191 422 231 	
632 	3 7	3_1	 188 425 237 	
633 	3 7	3_1	 190 422 232 	
634 	3 7	3_1	 184 425 241 	
635 	3 7	3_1	 189 426 237 	
636 	3 7	3_1	 189 434 245 	
637 	3 7	3_1	 186 420 234 	
638 	3 7	3_1	 183 422 239 	
639 	3 7	3_1	 188 421 233 	
640 	3 7	3_1	 188 415 227 	
641 	3 7	3_1	 188 425 237 	
642 	3 7	3_1	 188 432 244 		3 7	3_1	 196 440 244 	
643 	3 7	3_1	 196 430 234 	
644 	3 7	3_1	 198 433 235 	
645 	3 7	3_1	 186 429 243 	
646 	3 7	3_1	 182 431 249 	
647 	3 7	3_1	 185 429 244 	
648 	3 7	3_1	 183 431 248 	
649 	3 7	3_1	 192 418 226 	
650 	3 7	3_1	 183 426 243 		3 7	3_1	 188 431 243 	
651 	3 7	3_1	 186 431 245 	
652 	3 7	3_1	 188 428 240 	
653 	3 7	3_1	 175 434 259 	
654 	3 7	3_1	 180 429 249 	
655 	3 7	3_1	 170 427 257 	
656 	3 7	3_1	 174 426 252 	
657 	3 7	3_1	 175 431 256 	
658 	3 7	3_1	 187 433 246 	
659 	3 7	3_1	 180 431 251 	
660 	3 7	3_1	 191 428 237 	
661 	3 7	3_1	 185 430 245 	
662 	3 7	3_1	 183 418 235 	
663 	3 7	3_1	 186 420 234 	
664 	3 7	3_1	 181 416 235 	
665 	3 7	3_1	 191 415 224 	
666 	3 7	3_1	 195 421 226 	
667 	3 7	3_1	 188 412 224 	
668 	3 7	3_1	 186 411 225 	
669 	3 7	3_1	 192 419 227 	
670 	3 7	3_1	 194 423 229 	
671 	3 7	3_1	 195 421 226 	
672 	3 7	3_1	 201 418 217 	
673 	3 7	3_1	 200 417 217 	
