#Timestep Max1DUnsignedWrithe ArgMax1DUnsignedWrithe Max3DLocalWrithe ArgMax3DLocalWrithe 
552 1.159 395 5.00442 218
553 1.34826 399 5.84361 386
554 1.78497 392 5.93301 381
555 1.67982 395 6.15925 383
556 1.8667 394 5.99115 378
557 1.8386 389 6.31568 374
558 1.90129 392 6.21048 384
559 2.02735 391 6.82211 396
560 1.94059 388 6.06772 390
561 2.16951 394 6.53704 390
562 2.04007 393 6.03575 384
563 1.8664 393 6.13693 404
564 2.02097 394 5.53344 379
565 2.09943 394 5.8951 375
566 2.16108 401 6.20207 378
567 2.16559 394 6.03718 380
568 2.0009 399 6.09877 385
569 2.02974 399 5.75661 386
570 2.19187 396 5.54523 389
571 1.62458 398 5.24203 392
572 1.78724 401 5.46794 384
573 1.89841 401 5.73671 386
574 1.90132 396 5.4125 382
575 1.80574 393 5.19786 382
576 1.85852 395 4.9684 379
577 2.49709 394 5.5747 375
578 1.61433 400 5.58469 381
579 1.66052 396 5.27874 387
580 1.48768 400 5.73988 358
581 1.98087 398 6.28186 374
582 1.78231 400 5.92042 375
583 1.69836 399 5.79951 372
584 1.78283 402 5.59134 194
585 1.73207 404 7.07562 187
586 1.76291 405 5.69597 200
587 1.63521 396 5.7557 447
588 1.60214 402 5.34242 451
589 1.66912 401 5.89334 450
590 1.71307 402 5.81654 446
591 1.73957 402 5.41292 374
592 1.38421 395 4.55915 378
593 1.45365 395 4.81456 371
594 1.57123 396 5.35413 385
595 1.24897 395 6.21747 193
596 1.51348 404 5.03586 187
597 1.32276 392 5.01909 188
598 1.61687 395 5.32802 376
599 1.67415 396 4.86496 438
600 1.35929 398 4.79728 431
601 1.44391 404 4.85206 393
602 1.57308 404 5.02782 201
603 1.29825 399 4.8378 206
604 1.49301 400 5.6623 436
605 1.49658 398 4.82319 380
606 1.13489 399 5.35652 193
607 0.930469 394 4.88073 194
608 1.33141 395 4.98783 392
609 1.5937 400 7.03745 401
610 1.30686 395 5.70355 400
611 1.37997 400 5.46951 186
612 1.5644 399 4.78962 421
613 1.34642 396 5.34279 190
614 1.27476 390 4.74965 189
615 1.18907 397 5.61379 186
616 1.15717 403 5.25263 190
617 0.946291 396 4.94565 194
618 1.09404 404 4.89748 195
619 1.38233 400 4.47992 188
620 0.726977 401 4.70253 193
621 0.859791 396 4.50869 187
622 1.01138 394 5.26677 187
623 1.33803 394 4.55693 187
624 0.998733 393 4.43591 180
625 1.03645 391 4.06099 186
626 1.24191 394 4.5167 184
627 1.5732 394 4.73747 411
628 1.48709 395 4.49478 187
629 1.2599 402 4.15254 405
630 1.10487 396 4.06611 400
631 1.20947 394 4.05054 376
632 1.41999 389 4.36343 370
633 1.35545 394 4.80963 382
634 1.49474 391 4.84922 380
635 1.63593 402 4.64428 379
636 1.55865 405 5.12881 417
637 1.38257 405 5.32697 387
638 1.01362 413 4.94878 183
639 0.981022 400 5.05418 395
640 0.876678 392 4.43474 184
641 1.1084 403 4.36077 378
