,Knot Type,Replica #,Correlation Fraction,Correlation Score,Representation
293,$3_1$,37,0.507,1.0231841,Local Curvature
294,$3_1$,38,0.573,1.007639065,Local Curvature
295,$3_1$,39,0.479,0.94415119,Local Curvature
296,$3_1$,40,0.449,1.006117373,Local Curvature
297,$3_1$,41,0.443,1.035690406,Local Curvature
298,$3_1$,42,0.504,1.023051128,Local Curvature
299,$3_1$,43,0.498,1.011602964,Local Curvature
300,$3_1$,44,0.507,1.01257834,Local Curvature
301,$3_1$,45,0.559,1.044469357,Local Curvature
302,$3_1$,46,0.534,1.050556559,Local Curvature
303,$3_1$,47,0.515,0.996293402,Local Curvature
304,$3_1$,48,0.586,1.047142872,Local Curvature
305,$3_1$,49,0.508,1.036307481,Local Curvature
306,$3_1$,50,0.461,1.021031929,Local Curvature
307,$3_1$,51,0.53,1.014921257,Local Curvature
308,$3_1$,52,0.485,1.022283676,Local Curvature
309,$3_1$,53,0.406,0.990326027,Local Curvature
310,$3_1$,54,0.395,1.085934536,Local Curvature
311,$3_1$,55,0.536,1.021150776,Local Curvature
312,$3_1$,56,0.405,1.0481909,Local Curvature
313,$3_1$,57,0.427,0.990039323,Local Curvature
314,$3_1$,58,0.525,1.019191868,Local Curvature
315,$3_1$,59,0.471,1.029818831,Local Curvature
316,$3_1$,60,0.436,1.020699601,Local Curvature
317,$3_1$,61,0.608,1.05446082,Local Curvature
318,$3_1$,62,0.367,1.152225648,Local Curvature
319,$3_1$,63,0.476,0.97512609,Local Curvature


320,$5_1$,0,0.676,1.087813591,Local Curvature
321,$5_1$,1,0.609,1.026597126,Local Curvature
322,$5_1$,2,0.629,1.058480634,Local Curvature
323,$5_1$,3,0.659,1.037106049,Local Curvature
324,$5_1$,4,0.531,1.025746032,Local Curvature
325,$5_1$,5,0.536,1.023564909,Local Curvature
326,$5_1$,6,0.634,1.011732264,Local Curvature
327,$5_1$,7,0.713,1.028453396,Local Curvature
328,$5_1$,8,0.655,1.006172214,Local Curvature
329,$5_1$,9,0.567,1.043633834,Local Curvature
330,$5_1$,10,0.616,1.055499392,Local Curvature
331,$5_1$,11,0.633,0.96552187,Local Curvature
332,$5_1$,12,0.582,1.094235896,Local Curvature
333,$5_1$,13,0.571,1.03007234,Local Curvature
334,$5_1$,14,0.678,1.007348593,Local Curvature
335,$5_1$,15,0.638,1.017199926,Local Curvature
336,$5_1$,16,0.637,1.028361467,Local Curvature
337,$5_1$,17,0.531,1.001531532,Local Curvature
338,$5_1$,18,0.592,1.039807776,Local Curvature
339,$5_1$,19,0.649,1.014373152,Local Curvature
340,$5_1$,20,0.645,1.034340091,Local Curvature
341,$5_1$,21,0.643,1.030504867,Local Curvature
342,$5_1$,22,0.696,1.019379936,Local Curvature
343,$5_1$,23,0.582,0.983732911,Local Curvature
344,$5_1$,24,0.6,0.980414585,Local Curvature
345,$5_1$,25,0.65,0.973138386,Local Curvature
346,$5_1$,26,0.649,1.110795425,Local Curvature
347,$5_1$,27,0.685,1.026734056,Local Curvature
348,$5_1$,28,0.683,1.001974609,Local Curvature
349,$5_1$,29,0.594,0.983277658,Local Curvature
350,$5_1$,30,0.504,1.003044958,Local Curvature
351,$5_1$,31,0.535,1.035717743,Local Curvature
352,$5_1$,32,0.576,1.061555474,Local Curvature
353,$5_1$,33,0.622,1.034680081,Local Curvature
354,$5_1$,34,0.672,1.068746481,Local Curvature
355,$5_1$,35,0.586,1.026489022,Local Curvature
356,$5_1$,36,0.542,1.010097245,Local Curvature
357,$5_1$,37,0.488,1.035363608,Local Curvature
358,$5_1$,38,0.631,1.001711323,Local Curvature
359,$5_1$,39,0.722,1.086871436,Local Curvature
360,$5_1$,40,0.619,0.979563675,Local Curvature
361,$5_1$,41,0.649,0.987928699,Local Curvature
362,$5_1$,42,0.69,0.999994203,Local Curvature
363,$5_1$,43,0.655,1.026266146,Local Curvature
364,$5_1$,44,0.646,1.033302409,Local Curvature
365,$5_1$,45,0.696,1.015151427,Local Curvature
366,$5_1$,46,0.636,0.979606925,Local Curvature
367,$5_1$,47,0.583,1.022426747,Local Curvature
368,$5_1$,48,0.635,1.049448007,Local Curvature
369,$5_1$,49,0.569,1.073998294,Local Curvature
370,$5_1$,50,0.611,0.983681513,Local Curvature
371,$5_1$,51,0.646,1.077072364,Local Curvature
372,$5_1$,52,0.66,1.02649604,Local Curvature
373,$5_1$,53,0.598,1.010807869,Local Curvature
374,$5_1$,54,0.69,1.063285521,Local Curvature
375,$5_1$,55,0.581,1.070080118,Local Curvature
376,$5_1$,56,0.63,1.025357247,Local Curvature
377,$5_1$,57,0.653,0.990426384,Local Curvature
378,$5_1$,58,0.604,1.096176811,Local Curvature
379,$5_1$,59,0.491,1.03347969,Local Curvature
380,$5_1$,60,0.604,1.055896061,Local Curvature
381,$5_1$,61,0.58,0.982557903,Local Curvature
382,$5_1$,62,0.664,1.025669543,Local Curvature
383,$5_1$,63,0.661,1.030953562,Local Curvature


384,$7_1$,0,0.64,1.012145749,Local Curvature
385,$7_1$,1,0.674,0.989982668,Local Curvature
386,$7_1$,2,0.685,0.992891765,Local Curvature
387,$7_1$,3,0.755,1.026987322,Local Curvature
388,$7_1$,4,0.761,1.021095484,Local Curvature
389,$7_1$,5,0.742,0.992517329,Local Curvature
390,$7_1$,6,0.699,0.989045507,Local Curvature
391,$7_1$,7,0.761,1.06114185,Local Curvature
392,$7_1$,8,0.716,1.012397629,Local Curvature
393,$7_1$,9,0.726,1.013120327,Local Curvature
394,$7_1$,10,0.747,1.017007303,Local Curvature
395,$7_1$,11,0.668,0.981161119,Local Curvature
396,$7_1$,12,0.711,0.997035537,Local Curvature
397,$7_1$,13,0.753,1.027944248,Local Curvature
398,$7_1$,14,0.684,1.018763721,Local Curvature
399,$7_1$,15,0.743,0.995196803,Local Curvature
400,$7_1$,16,0.748,1.022659845,Local Curvature
401,$7_1$,17,0.773,1.062633517,Local Curvature
402,$7_1$,18,0.554,1.059832722,Local Curvature
403,$7_1$,19,0.743,1.015093886,Local Curvature
404,$7_1$,20,0.722,1.0815086,Local Curvature
405,$7_1$,21,0.67,1.058501983,Local Curvature
406,$7_1$,22,0.738,1.01026694,Local Curvature
407,$7_1$,23,0.697,1.028257156,Local Curvature
408,$7_1$,24,0.686,0.997931402,Local Curvature
409,$7_1$,25,0.718,1.057228765,Local Curvature
410,$7_1$,26,0.75,1.019700616,Local Curvature
411,$7_1$,27,0.715,1.043207769,Local Curvature
412,$7_1$,28,0.644,1.003546696,Local Curvature
413,$7_1$,29,0.704,1.022551324,Local Curvature
414,$7_1$,30,0.71,1.002371809,Local Curvature
415,$7_1$,31,0.739,1.034501102,Local Curvature
416,$7_1$,32,0.728,1.014586068,Local Curvature
417,$7_1$,33,0.702,1.040693796,Local Curvature
418,$7_1$,34,0.727,1.0175859,Local Curvature
419,$7_1$,35,0.748,1.043523874,Local Curvature
420,$7_1$,36,0.684,1.00777638,Local Curvature
421,$7_1$,37,0.686,0.988746166,Local Curvature
422,$7_1$,38,0.683,1.081647779,Local Curvature
423,$7_1$,39,0.629,1.073155418,Local Curvature
424,$7_1$,40,0.666,1.127239246,Local Curvature
425,$7_1$,41,0.649,1.107451837,Local Curvature
426,$7_1$,42,0.696,1.008412128,Local Curvature
427,$7_1$,43,0.705,1.030078286,Local Curvature
428,$7_1$,44,0.621,1.047298779,Local Curvature
429,$7_1$,45,0.707,0.991440239,Local Curvature
430,$7_1$,46,0.724,1.033957802,Local Curvature
431,$7_1$,47,0.717,1.055890011,Local Curvature
432,$7_1$,48,0.763,1.057668582,Local Curvature
433,$7_1$,49,0.713,1.006672559,Local Curvature
434,$7_1$,50,0.725,1.016565104,Local Curvature
435,$7_1$,51,0.701,1.04581599,Local Curvature
436,$7_1$,52,0.769,1.043393784,Local Curvature
437,$7_1$,53,0.755,1.027250018,Local Curvature
438,$7_1$,54,0.684,0.990225146,Local Curvature
439,$7_1$,55,0.765,1.035090236,Local Curvature
440,$7_1$,56,0.712,1.086031379,Local Curvature
441,$7_1$,57,0.697,1.012328035,Local Curvature
